Date,Close,High,Low,Open,Volume,Daily Return
2023-01-01,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700,
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227,0.0038129515588565255
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207,-0.000516121662866742
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322,0.010994150293785143
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566,-0.0015715814888571655
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913,0.006844106816741524
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174,0.00018342264818071996
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914,0.008025112314249405
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866,0.006167530562816603
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949,0.014522576515372032
2023-01-11,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782,0.02800615102017323
2023-01-12,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710,0.052115795988246116
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694,0.05511441660269112
2023-01-14,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639,0.05357847423830919
2023-01-15,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543,-0.004552757413617381
2023-01-16,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050,0.013832516023570829
2023-01-17,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362,-0.00038325091993141047
2023-01-18,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418,-0.022339524368838015
2023-01-19,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261,0.019238045679950355
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319,0.07539125404137925
2023-01-21,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429,0.004457126566322689
