Date,Close,High,Low,Open,Volume,Daily Return,MA_7,MA_30,Signal,Cumulative Return
2023-01-01,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700,,,,0,
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227,0.0038129515588565255,,,0,1.0038129515588565
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207,-0.000516121662866742,,,0,1.003294861949091
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322,0.010994150293785143,,,0,1.0143252364503417
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566,-0.0015715814888571655,,,0,1.0127311416850557
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913,0.006844106816741524,,,0,1.019662381795389
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174,0.00018342264818071996,16800.061383928572,,0,1.019849410969708
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914,0.008025112314249405,16866.642020089286,,0,1.028033817036361
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866,0.006167530562816603,16939.225446428572,,0,1.0343742470225417
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949,0.014522576515372032,17048.716238839286,,0,1.049396026170457
2023-01-11,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782,0.02800615102017323,17201.81026785714,,0,1.0787855697593565
2023-01-12,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710,0.052115795988246116,17492.217633928572,,0,1.1350073384279988
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694,0.05511441660269112,17914.73270089286,,0,1.197562605725231
2023-01-14,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639,0.05357847423830919,18489.192801339286,,0,1.2617261829448427
2023-01-15,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543,-0.004552757413617381,19030.57198660714,,0,1.2559818497114854
2023-01-16,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050,0.013832516023570829,19598.15457589286,,0,1.2733552387729337
2023-01-17,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362,-0.00038325091993141047,20128.901227678572,,0,1.2728672242062744
2023-01-18,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418,-0.022339524368838015,20522.313337053572,,0,1.244431975832823
2023-01-19,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261,0.019238045679950355,20839.05691964286,,0,1.2683724150294857
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319,0.07539125404137925,21234.33956473214,,0,1.3639966019900513
2023-01-21,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429,0.004457126566322689,21491.671875,,0,1.3700761074811552
2023-01-22,22720.416015625,23056.73046875,22387.900390625,22777.986328125,24746386230,-0.002511630794474806,21754.47433035714,,0,1.3666349821388313
2023-01-23,22934.431640625,23126.486328125,22654.3046875,22721.087890625,26518700512,0.009419529327844067,22006.588448660714,,0,1.3795080404335456
2023-01-24,22636.46875,23134.01171875,22549.744140625,22929.626953125,26405069715,-0.012991945703908492,22217.295479910714,,0,1.3615855468741278
2023-01-25,23117.859375,23722.099609375,22406.076171875,22639.267578125,30685366709,0.021266153759075257,22564.306640625,,0,1.3905412344700876
2023-01-26,23032.77734375,23237.078125,22911.373046875,23108.955078125,26357839322,-0.003680359408276712,22842.30440848214,,0,1.3854235429552089
2023-01-27,23078.728515625,23417.720703125,22654.59375,23030.716796875,25383335641,0.0019950339114214177,22899.75809151786,,0,1.3881875099050862
2023-01-28,23031.08984375,23165.896484375,22908.845703125,23079.96484375,14712928379,-0.0020641809553220147,22935.967354910714,,0,1.3853220396847243
2023-01-29,23774.56640625,23919.890625,22985.0703125,23031.44921875,27423687259,0.03228143207915801,23086.56026785714,,0,1.4300422190165674
2023-01-30,22840.138671875,23789.34765625,22657.58203125,23774.6484375,27205595568,-0.03930367092328346,23073.08984375,20154.431966145832,1,1.3738363102339382
2023-01-31,23139.283203125,23225.021484375,22765.568359375,22840.796875,22837828665,0.013097316769725253,23144.920479910714,20371.5720703125,1,1.3918298795788226
2023-02-01,23723.76953125,23764.5390625,22877.75,23137.8359375,26683255504,0.025259482888651652,23231.479073660714,20606.08203125,1,1.426986782605958
2023-02-02,23471.87109375,24167.2109375,23468.595703125,23720.82421875,32066936882,-0.01061797692681965,23294.20675223214,20832.482486979166,1,1.4118350698733713
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007,-0.0009606745041729203,23347.14871651786,21052.018619791666,1,1.4104787559176468
2023-02-04,23331.84765625,23556.94921875,23291.794921875,23446.3203125,15639298538,-0.005009723012217249,23390.114118303572,21268.522330729167,1,1.4034126480358826
2023-02-05,22955.666015625,23423.435546875,22841.759765625,23332.248046875,19564262605,-0.01612309690031044,23273.128348214286,21468.645572916666,1,1.3807852899204789
2023-02-06,22760.109375,23119.279296875,22692.025390625,22954.021484375,23825006542,-0.008518883333286542,23261.69559151786,21662.146614583333,1,1.369022541127328
2023-02-07,23264.291015625,23310.974609375,22756.2578125,22757.267578125,27187964471,0.022151986720186922,23279.553850446428,21867.9181640625,1,1.3993491102780171
2023-02-08,22939.3984375,23367.958984375,22731.09765625,23263.416015625,25371367758,-0.013965290320121615,23167.500837053572,22059.3462890625,1,1.3798067936937808
2023-02-09,21819.0390625,22996.4375,21773.974609375,22946.56640625,32572572185,-0.04883996317743455,22931.381975446428,22205.1044921875,1,1.3124170806978026
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594,-0.007693073387383564,22674.505022321428,22328.980729166666,1,1.3023205597811387
2023-02-11,21870.875,21891.41015625,21618.44921875,21651.841796875,16356226232,0.010146854341645195,22465.79464285714,22429.0236328125,1,1.3155350168073678
2023-02-12,21788.203125,22060.994140625,21682.828125,21870.90234375,17821046406,-0.003779998514005456,22299.014229910714,22491.644596354166,-1,1.3105622963987138
2023-02-13,21808.1015625,21898.4140625,21460.087890625,21787.0,23918742607,0.0009132665684197239,22163.013113839286,22519.371354166666,-1,1.3117591891298461
2023-02-14,22220.8046875,22293.140625,21632.39453125,21801.822265625,26792596581,0.018924303145655852,22013.94363839286,22564.038216145833,-1,1.3365833176790392
2023-02-15,24307.841796875,24307.841796875,22082.76953125,22220.5859375,32483312909,0.09392266116037784,22209.435546875,22668.645182291668,-1,1.4621187797380213
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596,-0.028154173176657027,22467.212053571428,22750.7103515625,-1,1.4209540344084346
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255,0.03988096453648349,22883.557477678572,22879.9376953125,1,1.4776230518626505
